Username,Text
allyson_meghan,@loonatic4chuu @femceloid aha/bha and retinol used on separate days is not a big deal unless I’m missing another active ingredient
allyson_meghan,@Liquid_Lawrence @femceloid the comments are just annoying none of them know what they’re talking about any more than she does. everyone’s skin needs different shit
allyson_meghan,@femceloid Some of us need more than two products to have clear skin lmao I hate this app
allyson_meghan,I went thru an unexpected toll so I hurriedly pulled out a random dollar and when I handed it to her some powder flew out this was us https://t.co/tObtKndHTW
allyson_meghan,@chris10holden YES and I swear it’s the most denied addiction bc “it’s a plant” my guy you can still be addicted to plants lmao. You can see how anxious and irritable they get without it too.
allyson_meghan,@chris10holden REAL SHIT
allyson_meghan,@t00thfaiiry oh NOOOOOOOO I CREEPED ON SO MANY PEOPLE
allyson_meghan,fool me once that’s ok ☺️ fool me twice no really it’s ok I understand 🥰 fool me thrice seriously don’t worry about it totally fine 💕💗💖💗💓
allyson_meghan,@RISKYBISQU3 but the end is so scary and sad 😭 it fucks me up
allyson_meghan,@aphrobeesiac @ThePopTingz SAME I swear I have a deficiency
allyson_meghan,@ZorayaBlack_ No she’s just insecure and doesn’t realize she could have better
allyson_meghan,@RISKYBISQU3 sounds terrifying
allyson_meghan,@ThePopTingz No fucking shit it’s junk food with zero nutritional value. Still gonna devour those hoes
allyson_meghan,@Heydavinaa_ story of my life lmao
allyson_meghan,@myceliummidwife @goseroldmusic https://t.co/nyEyMUcZrV
allyson_meghan,@goseroldmusic @myceliummidwife I hate you on a molecular level
allyson_meghan,@myceliummidwife @goseroldmusic what 😭😭😭😭😭 for what reason
allyson_meghan,@goseroldmusic I would’ve started crying
allyson_meghan,Kylie Jenner trust you will be dealt with 😐
allyson_meghan,@mitchoo_oo I need him
allyson_meghan,@fiImgal she said DIE— lmfaoooooo
allyson_meghan,idc what anyone says this is the happiest song in existence and I love it. when the trumpets come in????? masterpiece https://t.co/ItoQGyhbKv
allyson_meghan,@HansByers2 @NicholasPas5 this has to be a joke
allyson_meghan,SHOUT IT FROM THE ROOFTOPS
